# external.txt — every reference the closure gate (scripts/skill/verify-mirror.mjs) cannot find on disk,
# with ONE decision per URL. Format: <DECISION> | <url> | why (origin status measured 2026-08-20 with Referer).
# Vocabulary: NOTFILE = base/fragment literal, not a fetchable resource; JOINED = root-relative literal that the
# bundle joins onto another host at runtime — the resolved copy IS on disk (path given); DEADREF = only referenced
# by a retired dev bundle that exists in the mirror solely because an HTML comment names it (quirks Q1/Q3) and whose
# base host path is 404 on origin; NOTFETCHED = origin refuses the resource (same for live visitors).
# Decisions are exact-URL; no prefix (*) excuses, so nothing under any base stops being audited.

NOTFILE | https://assets.itsoffbrand.io/lando/gl | base literal in retired dev bundle lando-by-OFF+BRAND.js; origin 404 (directory, not a file)
NOTFILE | https://assets.itsoffbrand.io/lando/rive/ | base literal; the 7 .riv under it are on disk (assets/assets.itsoffbrand.io/lando/rive/, quirk Q4); origin 404 for the bare dir
NOTFILE | https://cdn.iubenda.com/cookie_solution/iubenda_cs/1.104.2/core- | fragment: iubenda_cs.js joins "core-"+lang+".js" at runtime; the cookie-banner <script> is inside an HTML comment on every page (quirk Q1) so it never executes
NOTFETCHED | https://cdn.prod.website-files.com/plugins/Basic/assets/placeholder.60f9b1840c.svg | Webflow CMS empty-image placeholder referenced by calendar/index.html; origin CDN answers 403 to every visitor (source-site quirk, same broken image live)
NOTFILE | https://lando.itsoffbrand.io/gl | GL asset base literal of the live bundle (pretty L41447); 100+ files under it are on disk; bare dir is 404
NOTFILE | https://lando.itsoffbrand.io/rive/ | rive base literal of the live bundle (page-transition.riv on disk, quirk Q4); bare dir is 404
NOTFILE | https://landonorris.com/embed-legal.json | as embed.json (iubenda.js API path fragment); origin 404
NOTFILE | https://landonorris.com/embed-no-markup.json | as embed.json (iubenda.js API path fragment); origin 404
NOTFILE | https://landonorris.com/embed.json | literal "/embed.json" inside cdn.iubenda.com/iubenda.js, joined onto iubenda's API host at runtime; origin 404; legal body is fetched live from iubenda (deviation 6.3)
JOINED | https://landonorris.com/fonts/Brier-Bold-02.webp | root-relative literal joined onto lando.itsoffbrand.io/gl (or unpkg rive) at runtime; origin 404; on disk: assets/lando.itsoffbrand.io/gl/fonts/Brier-Bold-02.webp
JOINED | https://landonorris.com/fonts/Brier-Bold-msdf.json | root-relative literal joined onto lando.itsoffbrand.io/gl (or unpkg rive) at runtime; origin 404; on disk: assets/lando.itsoffbrand.io/gl/fonts/Brier-Bold-msdf.json
